4,,,
Item Number,Category,Area (ha),Tier
1,Settlement,0.022,1
2,Terracing (Payo),0,2
3,Active Swidden Fields (Uma),0.773332936608187,3
4,Fallow Swidden Fields (Uma),1.54666587321637,4
5,Pastureland ,0,4
6,Agroforestry (Muyong),0.0212738590943719,5
7,Woodlot (Fuel) (Muyong),0.3,5
8,Forest Browse (Pigs),0.127035138032468,6
9,Total Hunting Land,4.89435156,6
